Date,Hammer Time,Open,High,Low,Close,Previous 1Hr Fall,Max Move Next 30 Min,SL Hit,SL Hit Time
2019-04-10,2019-04-10 13:50:00,29913.8,29916.2,29891.7,29907.7,247.6,43.0,True,2019-04-10 14:10:00
2019-04-10,2019-04-10 13:55:00,29901.9,29921.2,29865.3,29916.8,247.6,33.9,True,2019-04-10 14:15:00
2019-04-23,2019-04-23 14:45:00,29556.2,29560.6,29497.8,29536.9,274.9,32.4,True,2019-04-23 15:05:00
2019-04-26,2019-04-26 14:30:00,29974.2,29981.1,29923.1,29958.4,362.7,76.0,False,
2019-05-10,2019-05-10 10:30:00,28978.3,28979.0,28961.4,28973.6,207.2,68.0,False,
2019-05-14,2019-05-14 13:35:00,28849.8,28854.5,28819.3,28841.9,290.1,163.9,False,
2019-05-14,2019-05-14 13:45:00,28869.4,28871.2,28829.5,28865.2,273.1,143.5,False,
2019-05-14,2019-05-14 14:15:00,28967.8,28983.7,28937.0,28980.3,277.0,78.0,True,2019-05-14 14:45:00
2019-05-16,2019-05-16 14:15:00,28746.9,28755.9,28697.8,28734.3,240.2,106.2,True,2019-05-16 14:45:00
2019-05-16,2019-05-16 14:20:00,28734.1,28738.7,28691.4,28721.8,240.2,118.7,True,2019-05-16 14:50:00
2019-05-16,2019-05-16 14:35:00,28801.8,28811.4,28763.6,28809.7,289.4,0.0,True,2019-05-16 14:40:00
2019-05-23,2019-05-23 11:20:00,31129.8,31145.3,30926.2,31089.9,580.4,64.2,False,
2019-05-23,2019-05-23 12:00:00,31022.8,31023.4,30953.8,31002.8,536.6,62.9,True,2019-05-23 12:10:00
2019-05-23,2019-05-23 12:35:00,30814.2,30833.4,30757.8,30827.1,334.0,164.0,False,
2019-05-23,2019-05-23 13:00:00,30905.2,30905.2,30853.1,30890.6,307.9,189.0,False,
2019-05-23,2019-05-23 13:10:00,30989.8,31001.4,30941.6,30997.3,233.3,82.3,True,2019-05-23 13:35:00
2019-05-31,2019-05-31 12:00:00,31372.8,31372.8,30623.1,31246.2,342.1,195.9,False,
2019-05-31,2019-05-31 13:40:00,31292.2,31316.3,31256.4,31306.4,274.3,78.6,False,
2019-06-04,2019-06-04 13:30:00,31666.0,31672.9,31640.4,31671.4,210.2,72.8,False,
2019-06-06,2019-06-06 14:00:00,30944.8,30949.2,30905.4,30937.3,315.4,24.6,True,2019-06-06 14:10:00
2019-06-07,2019-06-07 14:25:00,31027.8,31051.8,30985.7,31047.2,237.5,92.4,False,
2019-06-07,2019-06-07 14:35:00,31085.0,31085.8,31018.8,31072.3,330.4,63.0,False,
2019-06-07,2019-06-07 14:45:00,31071.0,31073.4,31014.5,31055.3,330.4,80.0,False,
2019-06-07,2019-06-07 14:50:00,31059.6,31066.3,31034.1,31051.5,330.4,83.8,False,
2019-06-07,2019-06-07 14:55:00,31051.8,31054.3,30996.6,31041.7,296.0,93.6,False,
2019-06-10,2019-06-10 10:30:00,31134.8,31140.2,31099.8,31123.6,230.2,36.2,False,
2019-06-13,2019-06-13 14:20:00,30948.2,30970.1,30910.6,30964.4,270.5,1.2,True,2019-06-13 14:30:00
2019-06-18,2019-06-18 11:50:00,30490.7,30493.4,30465.6,30492.7,201.3,17.3,False,
2019-06-21,2019-06-21 10:15:00,30657.4,30662.9,30644.9,30661.2,220.5,25.0,True,2019-06-21 10:30:00
2019-06-27,2019-06-27 14:40:00,31432.0,31436.8,31379.1,31422.4,291.8,12.8,True,2019-06-27 14:55:00
2019-07-08,2019-07-08 11:15:00,30749.8,30754.1,30707.6,30744.2,427.1,56.6,False,
2019-07-09,2019-07-09 11:35:00,30599.7,30617.8,30558.3,30617.8,251.0,84.3,False,
2019-07-09,2019-07-09 11:50:00,30588.4,30594.4,30559.7,30591.9,204.5,110.2,False,
2019-07-12,2019-07-12 13:45:00,30822.8,30838.5,30803.1,30831.9,225.7,39.0,True,2019-07-12 14:00:00
2019-07-19,2019-07-19 10:15:00,30195.3,30211.9,30167.3,30207.7,352.2,23.0,False,
2019-07-30,2019-07-30 14:30:00,28930.0,28931.0,28881.7,28914.2,408.0,0.0,True,2019-07-30 14:35:00
2019-07-31,2019-07-31 11:50:00,28780.5,28785.8,28736.7,28772.3,210.8,40.9,True,2019-07-31 12:00:00
2019-08-02,2019-08-02 14:05:00,28380.0,28386.1,28342.4,28373.5,395.3,171.1,True,2019-08-02 14:35:00
2019-08-07,2019-08-07 12:15:00,28151.2,28154.1,28107.9,28142.7,215.3,25.5,False,
2019-08-08,2019-08-08 10:35:00,27703.7,27707.3,27671.2,27698.8,240.7,27.0,True,2019-08-08 10:50:00
2019-08-08,2019-08-08 10:45:00,27695.2,27695.2,27659.9,27691.4,230.1,0.0,True,2019-08-08 10:50:00
2019-08-08,2019-08-08 13:55:00,27757.1,27772.0,27727.2,27766.2,215.4,44.7,True,2019-08-08 14:10:00
2019-08-13,2019-08-13 14:00:00,27867.7,27869.8,27828.4,27864.8,233.0,48.4,True,2019-08-13 14:30:00
2019-08-20,2019-08-20 10:20:00,27908.3,27919.6,27885.6,27918.6,371.3,41.6,False,
2019-08-20,2019-08-20 10:45:00,27939.0,27940.1,27905.7,27927.9,244.9,53.4,True,2019-08-20 11:15:00
2019-08-20,2019-08-20 13:50:00,27962.2,27966.4,27915.2,27953.4,200.7,90.3,False,
2019-08-22,2019-08-22 14:40:00,27199.5,27200.9,27160.4,27190.4,266.1,16.7,True,2019-08-22 14:50:00
2019-08-26,2019-08-26 13:10:00,27592.3,27603.5,27573.8,27600.0,308.6,94.3,False,
2019-08-26,2019-08-26 14:45:00,27834.0,27845.6,27797.1,27821.7,346.3,169.0,False,
2019-08-29,2019-08-29 12:50:00,27382.0,27384.9,27343.3,27384.9,201.7,87.2,False,
2019-08-29,2019-08-29 14:35:00,27459.8,27465.9,27426.8,27465.9,200.6,0.0,True,2019-08-29 14:40:00
2019-08-30,2019-08-30 14:15:00,27395.9,27405.4,27331.6,27400.9,245.6,21.0,True,2019-08-30 14:35:00
2019-09-04,2019-09-04 10:25:00,26919.6,26921.4,26883.7,26920.7,348.0,25.0,True,2019-09-04 10:40:00
2019-09-04,2019-09-04 11:35:00,27011.1,27025.2,26964.2,27021.8,217.0,101.2,False,
2019-09-04,2019-09-04 12:15:00,27070.4,27072.9,27039.8,27066.4,274.1,27.7,True,2019-09-04 12:30:00
2019-09-09,2019-09-09 11:05:00,27483.8,27486.3,27464.0,27480.3,281.7,0.0,True,2019-09-09 11:10:00
2019-09-17,2019-09-17 10:15:00,27656.8,27658.1,27625.4,27651.7,206.5,48.5,True,2019-09-17 10:45:00
2019-09-18,2019-09-18 12:25:00,27329.8,27336.7,27305.3,27334.4,203.8,20.8,True,2019-09-18 12:35:00
2019-09-18,2019-09-18 14:20:00,27334.7,27341.2,27289.8,27320.6,225.0,48.7,True,2019-09-18 14:45:00
2019-09-18,2019-09-18 14:25:00,27322.6,27337.2,27289.9,27330.2,205.0,39.1,True,2019-09-18 14:45:00
2019-09-20,2019-09-20 13:00:00,28746.4,28768.3,28706.3,28764.7,376.2,227.5,False,
2019-09-23,2019-09-23 10:35:00,29992.3,30011.0,29950.0,30008.7,808.9,355.7,False,
2019-09-23,2019-09-23 10:55:00,30293.6,30300.4,30180.6,30278.7,470.7,243.4,False,
2019-09-23,2019-09-23 11:15:00,30395.4,30424.8,30333.1,30415.2,519.3,106.9,False,
2019-09-23,2019-09-23 11:20:00,30414.8,30430.4,30358.2,30429.1,541.5,93.0,True,2019-09-23 11:45:00
2019-09-23,2019-09-23 11:55:00,30460.4,30464.7,30413.4,30445.8,341.5,106.9,False,
2019-09-23,2019-09-23 12:20:00,30516.9,30522.3,30440.6,30501.0,262.8,300.3,False,
2019-09-23,2019-09-23 13:15:00,30638.3,30640.7,30530.8,30614.7,360.7,0.0,True,2019-09-23 13:20:00
2019-09-23,2019-09-23 14:05:00,30581.1,30597.4,30522.9,30563.0,337.7,0.0,True,2019-09-23 14:10:00
2019-09-24,2019-09-24 10:45:00,30141.2,30141.2,30042.8,30127.9,311.4,117.7,False,
2019-09-24,2019-09-24 13:00:00,30079.2,30103.7,30054.2,30091.6,272.2,97.5,True,2019-09-24 13:15:00
2019-09-24,2019-09-24 14:15:00,30071.9,30091.4,30003.8,30050.1,217.6,362.2,False,
2019-09-25,2019-09-25 13:40:00,29585.2,29601.9,29538.3,29597.3,303.2,30.5,False,
2019-09-25,2019-09-25 13:45:00,29597.0,29601.7,29559.3,29586.2,309.5,0.0,True,2019-09-25 13:50:00
2019-09-26,2019-09-26 10:50:00,30212.1,30261.1,30120.8,30252.7,743.7,87.1,False,
2019-09-26,2019-09-26 14:25:00,30038.3,30059.9,29991.8,30057.0,221.3,112.1,False,
2019-09-27,2019-09-27 10:45:00,29881.7,29894.9,29852.9,29894.9,210.7,27.7,True,2019-09-27 10:55:00
2019-09-27,2019-09-27 13:40:00,30069.9,30071.7,30033.4,30061.0,226.3,51.7,True,2019-09-27 14:00:00
2019-09-30,2019-09-30 10:15:00,29207.5,29219.4,29122.6,29184.1,563.5,98.7,False,
2019-09-30,2019-09-30 13:20:00,29176.5,29182.9,29123.1,29159.2,293.4,0.0,True,2019-09-30 13:25:00
2019-10-01,2019-10-01 11:15:00,29216.7,29216.7,29150.2,29205.8,359.1,92.9,False,
2019-10-01,2019-10-01 11:30:00,29201.9,29212.7,29145.2,29190.1,342.1,108.6,False,
2019-10-01,2019-10-01 13:25:00,28973.7,28979.4,28916.8,28959.9,251.7,0.0,True,2019-10-01 13:30:00
2019-10-04,2019-10-04 13:40:00,27779.5,27786.1,27704.1,27758.3,437.9,95.7,False,
2019-10-04,2019-10-04 13:50:00,27755.3,27777.7,27668.2,27774.1,443.4,109.9,False,
2019-10-07,2019-10-07 12:30:00,28089.6,28106.6,28060.3,28103.8,204.4,54.6,False,
2019-10-09,2019-10-09 10:15:00,27752.1,27753.2,27702.1,27741.2,232.4,157.1,False,
2019-10-10,2019-10-10 13:25:00,28100.4,28100.9,28035.7,28093.2,237.3,41.7,True,2019-10-10 13:45:00
2019-10-11,2019-10-11 14:45:00,28034.8,28045.2,27991.2,28022.7,317.2,0.0,True,2019-10-11 14:50:00
2019-10-14,2019-10-14 14:25:00,28515.7,28529.3,28491.3,28525.7,253.2,18.7,True,2019-10-14 14:35:00
2019-10-15,2019-10-15 12:55:00,28379.9,28392.8,28358.1,28386.9,201.6,0.0,True,2019-10-15 13:00:00
2019-10-15,2019-10-15 13:15:00,28352.4,28367.2,28300.8,28360.4,201.6,164.8,False,
2019-10-15,2019-10-15 14:05:00,28488.9,28495.7,28455.2,28493.1,224.6,201.7,False,
2019-10-16,2019-10-16 13:25:00,28394.8,28401.3,28347.9,28385.8,352.4,57.8,False,
2019-10-17,2019-10-17 12:05:00,28665.7,28677.2,28648.7,28673.3,253.1,9.5,True,2019-10-17 12:30:00
2019-10-17,2019-10-17 13:05:00,28840.2,28840.2,28806.6,28835.8,227.5,213.3,False,
2019-10-17,2019-10-17 13:20:00,28839.3,28849.7,28813.3,28849.7,248.5,199.4,False,
2019-10-17,2019-10-17 13:50:00,28998.2,29007.4,28954.6,28988.8,340.5,53.1,False,
2019-10-18,2019-10-18 13:55:00,29193.6,29193.6,29147.6,29182.9,201.2,66.6,True,2019-10-18 14:20:00
2019-10-18,2019-10-18 14:25:00,29112.3,29141.1,29051.8,29129.8,212.4,16.4,False,
2019-10-22,2019-10-22 14:00:00,29491.8,29516.9,29440.6,29507.6,268.2,1.2,True,2019-10-22 14:15:00
2019-10-22,2019-10-22 14:15:00,29446.1,29446.1,29378.2,29430.6,268.2,102.6,False,
2019-10-23,2019-10-23 14:50:00,29404.3,29405.4,29330.6,29403.1,215.3,81.1,False,
2019-10-24,2019-10-24 10:40:00,29368.6,29387.3,29343.2,29379.0,351.6,3.6,True,2019-10-24 10:50:00
2019-10-24,2019-10-24 12:10:00,29482.4,29498.2,29462.2,29492.2,211.8,43.9,True,2019-10-24 12:25:00
2019-10-24,2019-10-24 13:20:00,29229.6,29252.2,29090.2,29200.3,311.3,61.9,True,2019-10-24 13:45:00
